community_id,community_name,wylie_name,tibetan,chinese_name,en_variants,bo_x_ewts_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
334,Riwo Dechen,ri bo bde chen,,,,,,,,,
335,Rinchen Drak,rin chen brag,,,Dre Rinchen Drak,spras rin chen brag,,,,,
338,Tetung Monastery,te thung dgon chen,,,Tethung Gonchen,,,,,,
339,Tangring Monastery,thang ring dgon pa,,隆合寺,,,,,,,
340,Amdo Chubzang Monastery,chu bzang dgon,,,Amdo Chubzang; Chubzang Gon Ganden Migyur Ling; Chubzang Gon Tubten Rabgye Ling,chu bzang dgon dga' ldan mi 'gyur gling; chu bzang dgon thub bstan rab rgyas gling,,,,,
342,Drepung Gomang Dratsang,sgo mang grwa tshang,,,Gomang Dratsang; Drepung Gomang College,,,,,,
343,Dechen Sangngak Khar,bde chen gsang sngags mkhar,,,Sangngak Khar,gsang sngags mkhar,,,,,
344,Tashilhunpo Shartse Dratsang,bkra shis lhun po shar rtse grwa tshang,,,,,,,,,
345,Ganden Rinchen Ling,dga' ldan rin chen gling,,,Ganden Rinchenling; baobei si,,宝贝寺,,,,
346,Pari Tashi Choling,dpa' ri bkra shis chos gling,,⽺官寺,,dpa' ris stong shag bkra shis chos gling,,,,,
347,Serlung Monastery,ser lung dgon,,,,,,,,,
348,Sera Je,se ra byes,,,Sera Je College; Sera Je Dratsang; Sera Jey; Seraje Dratsang,ser byes; byes grwa tshang,,,,,
349,Sera Me,se ra smad,,,Sera Me Dratsang; Sera Me Tratsang,,,,,,
350,Dromda Monastery,grom mda' dgon,,,,,,,,,
351,Dab Yangteng Monastery,dab yang steng dgon,,,Kham Dab Yangteng; Yangteng Monastery,ldab yang steng dgon; khams 'dabs yang steng dgon; yang steng,,,,,
352,Toling Monastery,mtho lding dgon,,托林寺,Ngari Toding,mnga' ris mtho lding,,,,,
353,To Jayul Monastery,stod bya yul dgon pa,,,Jayul Gon,,,,,,
354,Chone Ganden Shedrub Ling,co ne dga' ldan bshad sgrub gling,,卓尼丹丁寺,Chone; Chone Gonchen; Tingdzin Dargye Ling,ting 'dzin dar rgyas gling,,,,,
355,Drepung Loseling College,bras spungs blo gsal gling grwa tshang,,,Loseling Dratsang,,,,,,
356,Genden Chopeling,dge ldan chos 'phel gling chos sde,,,,,,,,,
357,Pakmo Chode,phag mo chos sde,,,,,,,,,
358,Jakhyung Monastery,bya khyung dgon,,,Amdo Jakhyung; Jakhyung Tekchen Yonten Dargye Ling; xiaqong si; xiaqun si; xiachong si; shachong si,theg chen yon tan dar rgyas gling,夏琼寺; 夏群寺; 夏冲寺; 沙冲寺,,,,
359,Rablo,rab lo,,,,,,,,,
360,Tsador Monastery,tsha rdor dgon,,,Tshador Gon; chadao-er si; zhaxi xianba nanjielin,tsha rdor dgon bkra shis byams pa rnam rgyal gling,岔道尔寺; 扎西贤巴南杰林,,,,
361,Shitsang Gonsar,shis tshang dgon gsar,,,,dga' ldan bshad sgrub chos 'khor gling,西仓新寺; 嘎丹谢珠曲科林,,,,
362,Ngulra Monastery,dngul rwa dgon,,,ola niantao si,dga' ldan dam chos kun rgyas gling; gnyan thog dgon dga' ldan dam chos kun rgyas gling; dngul rwa gnyan thog dgon; dga' ldan dam chos kun rgyas gling,欧拉念涛寺,,,,
363,Ganden Shedrub Pekar Drolwai Ling,dga' ldan bshad sgrub pad dkar grol ba'i gling,,,Taktsang Lhamo Ganden Shedrub Pekar Ling; Serchen Gompa; Sertri; Sertang,,,,,,
364,Tso Gon Ganden Choling,gtsos dgon dge ldan chos gling,,,Tso Gon Genden Choling,gtsos dgon pa,合作寺; 黑错寺,,,,
365,Mokru Ganden Jampeling,rmog ru dgon dga' ldan byams 'phel gling,,,mengru si; mengru si gedan xiangpeilin,,蒙茹寺; 蒙茹寺格丹祥培林,,,,
