community_id,person_id
32,1820; 1831; 1898; 1930; 1963; 2340; 2387; 2866; 3200; 3671; 4085; 4119; 4164; 4217; 4219; 4220; 4221; 4222; 4223; 4224; 4225; 4227; 4291; 4820; 7064; 7581; 7718; 9105; 9213; 9990; 10202; 10203; 10452; 10462; 10470; 10497; 10507; 10528; 10623; 10633; 10644; 10699; 10742; 10753; 10815; 11972; 12479; 12741; 12743; 12745; 13246; 13248; 13249; 13511; 13532; 13647; 13654; 13677; 13679; 13721; 13745; 13787; 13788; 13794; 13795; 13796; 13797; 13798
996,11462; 11942
180,4228; 4291; 4358; 4820; 8181; 8507; 8536; 8538; 9047; 9594; 9622; 9990; 10355; 10815; 11231; 11385; 11741; 12180; 12500; 13139; 13455; 13533; 13653; 13654; 13677; 13697; 13702; 13747; 13749; 13795; 13811
1187,8825; 11385
701,13738; 13821; 13824; 13825
308,7601; 7622; 7815; 8028; 10531; 10857
536,4163; 4380; 5328; 10394
352,4487; 5415; 6526; 7113; 10199; 11056
724,5652; 6979
295,3153; 4402; 4631
497,2469; 6635; 13201; 13202; 13203
62,2181; 2483; 2577; 2578; 2662; 2845; 2866; 3762; 3957; 4114; 4150; 4168; 4261; 4359; 5555; 5750; 5790; 5805; 6037; 6393; 6491; 6895; 8730; 10480; 10579; 10623; 10687; 13199
228,3168
91,1831; 2137; 2683; 2823; 2882; 2896; 2912; 2919; 3469; 3671; 3744; 3762; 3877; 3936; 3938; 3939; 4113; 4114; 4164; 4168; 4276; 4727; 5331; 5693; 5849; 6159; 6351; 6646; 6735; 7093; 8106; 8986; 9062; 9095; 9201; 9213; 9482; 9634; 9795; 10168; 10480; 10579; 10683; 13073; 13195; 13234
1576,12403
1401,8354
353,4488; 4494; 5822; 7090
1388,6441
1575,12403
939,10613; 11883
128,1820; 1985; 4119; 4220; 4310; 6351; 6735; 10355; 10579; 11158; 12479; 12613; 13131; 13707; 13721; 13787; 13788; 13789; 13790; 13793; 13798; 13806
1268,5485
1399,8354
311,6219
316,2419; 2819; 2952; 3307; 3743; 3877; 3989; 4206; 4276; 4278; 4280; 4309; 4487; 4489; 4490; 4492; 4493; 4495; 4497; 4498; 4500; 5371; 5381; 5432; 5652; 5706; 5901; 6466; 6648; 6978; 6979; 7007; 7743; 8086; 8105; 8109; 8612; 9049; 9050; 9051; 9056; 9057; 9059; 9213; 11131; 12817
310,6286
343,4265; 4276; 4489; 4494; 5706; 6286; 6466; 6526; 8108; 8109
357,2819; 4495; 8086; 8097
324,5432; 6872; 10480; 13112
349,2419; 2755; 2819; 3134; 3712; 3730; 3989; 4278; 4279; 4489; 4497; 4500; 5706; 6978; 6979; 7182; 7565; 8097; 13171; 13666
185,6175; 9839; 11352; 12521; 12883; 13026
440,2755; 3134; 3730; 3733; 3734; 3735; 3738; 3739; 5479; 6419; 8861; 9873
271,6793
827,6065
551,7294
1317,3877; 12180
612,2338; 2340; 2733; 3153; 3753; 4086; 10480; 13206
306,3877; 11865
275,1985; 3152; 3736; 7370; 9213; 10528; 13721
1300,13507
1480,5706; 5901; 13666
1246,7565
333,2812; 2997; 3736; 4092; 4170; 5985; 6278; 6586; 8105; 10452; 10548; 10591
1315,3877
1021,3989; 4000; 4309; 6009
907,5795
1020,3989
841,13683
321,1586; 8986
459,5889; 6025; 7170; 13547
482,6045
1299,6548
178,1831; 4820; 10355; 10815; 11883; 12500; 13186; 13248; 13249; 13677
446,2845
807,8825
703,13233
1251,2791
704,13233
247,8181
443,2180; 2662; 3134; 3955; 4358; 6205; 8538; 8906; 9442; 9839; 13654; 13693; 13694; 13806
1175,7641; 13572
248,8181
158,2539; 7636; 12839; 13836; 13837; 13838; 13839; 13840; 13841; 13861; 13862
1516,12839; 13686; 13692; 13747
1701,13860
276,7370; 10452
1338,4358
702,1659; 4358; 11385
1488,4820
401,2436; 2527; 2974; 3061; 3062; 3064; 3296; 3769; 6099; 6161; 8860; 8861; 13175; 13176
1489,4820
1627,13248
1107,8754
