map_region_id,bdrc_id,label,wylie,tibetan,chinese,lat,long,region_type,html,zoom_min,zoom_max,type,zoom_level_on_click,map_priority_level_id
49,G2135,Gongkar,gong dkar,གོང་དཀར།,贡嘎县,29.2923,90.98122,,,10,21,city,11,5
50,G2130,Zangri,zangs ri,ཟངས་རི།,桑日县,29.26505,92.00638,,,10,21,city,11,5
51,G1989,Chonggye,phyongs rgyas,འཕྱོངས་རྒྱས།,,29.02879,91.67921,,,10,21,city,11,5
52,G2137,Chusum,chu gsum,ཆུ་གསུམ།,曲松县,29.0662,92.19907,,,10,21,city,11,5
53,G2138,Gyatsa,rgya tsha,རྒྱ་ཚ།,加查县,29.14342,92.59106,,,10,21,city,11,5
54,G2132,Tsome,mtsho smad,མཚོ་སྨད།,措美县,28.44525,91.42445,,,10,21,city,11,5
55,G2134,Lhodrak,lho brag,ལྷོ་བྲག།,洛扎县,28.39072,90.85481,,,10,21,city,11,2
56,G1990,Lhuntse,lhun rtse,ལྷུན་རྩེ།,隆子县,28.42323,92.44446,,,10,21,city,11,5
57,G2139,Tsona,mtsho sna,མཚོ་སྣ།,错那县,27.9975,91.9593,,,10,21,city,11,5
58,G2136,Nakartse,sna dkar rtse,སྣ་དཀར་རྩེ།,浪卡子县,28.97143,90.39675,,,10,21,city,11,5
61,G2171,Namling,rnam gling,རྣམ་གླིང།,南木林县,29.68335,89.09648,,,9,21,city,11,5
62,G1980,Shelkar,shel dkar,ཤེལ་དཀར།,协格尔,28.658903,87.126299,,,9,21,city,11,5
64,,Chushar,chu shar,ཆུ་ཤར།,曲下,29.091654,87.637155,,,9,21,city,11,5
65,G2162,Ngamring,ngam ring,ངམ་རིང།,昂仁县,29.29701,87.2238,,,11,21,city,11,5
66,G2164,Zetongmon,bzad mthong smon,བཟད་མཐོང་སྨོན།,谢通门县,29.433822,88.260139,,,9,21,city,11,5
67,G2174,Gadong,sga gdong,སྒ་གདོང།,嘎东,29.208982,89.182386,,,9,21,city,11,5
68,G2173,Khangmar,khang dmar,ཁང་དམར།,康马,28.55985,89.67547,,,9,21,city,11,5
69,G2166,Tingkye,gting skyes,གཏིང་སྐྱེས།,定结县,28.366679,87.76344,,,9,21,city,11,5
70,G2159,Drongpa,brong pa,འབྲོང་པ།,仲巴,29.77044,84.03022,,,9,21,city,11,5
71,G3591,Sharsingma,shar gsing ma,ཤར་གསིང་མ།,下司马,27.483779,88.906836,,,9,21,city,11,5
72,G3605,Dzongga,rdzong dga',རྫོང་དགའ།,,28.85453,85.29365,,,9,21,city,11,5
73,G2163,Nyalam,gnya' lam,གཉའ་ལམ།,聂拉木县,28.15829,85.97454,,,9,21,city,11,5
