community_id,community_name,place_type_id,place_type_name
1559,"Ganden Chokhor Ling",1,Monastery
187,Lharitse,1,Monastery
195,Tangpoche,1,Monastery
311,"Ladring Chode",1,Monastery
317,"Takpu Chode",1,Monastery
324,"Taktse Rinchen Gang",1,Monastery
325,"Kyormolung ",1,Monastery
327,"Reting Monastery",1,Monastery
352,"Toling Monastery",1,Monastery
353,"To Jayul Monastery",1,Monastery
62,Nartang,1,Monastery
719,Tabo,1,Monastery
824,Changra,1,Monastery
837,Gyelje,1,Monastery
960,"Wolkha Samling Monastery",1,Monastery
91,"Sangpu Neutok",1,Monastery
822,Terdrom,1,Monastery
128,"Nalendra Monastery",1,Monastery
199,Langtang,1,Monastery
52,Dratang,1,Monastery
305,Rato,1,Monastery
443,Chakpori,1,Monastery
35,Zhalu,1,Monastery
120,Nenying,1,Monastery
216,"Gyel Lhakhang",1,Monastery
246,"Joden Gendungang ",1,Monastery
292,"Tolung Takma",1,Monastery
271,"Japuk Dongak Dargye Ling",1,Monastery
358,"Jakhyung Monastery",1,Monastery
1001,"Nekhar Monastery",1,Monastery
1403,Ridrak,1,Monastery
1506,"Karma Migyur Ling",1,Monastery
1507,"Dhagpo Kagyu Ling",1,Monastery
151,"Parpu Monastery",1,Monastery
1512,"Karma Drupgyud Choeling",1,Monastery
1513,"Shri Karma Raja Mahavihara",1,Monastery
1542,Benchen,1,Monastery
347,"Serlung Monastery ",1,Monastery
63,"Daklha Gampo",1,Monastery
64,Densatil,1,Monastery
687,"Pulung Rinchen Ling",1,Monastery
881,"Tsokha Monastery",1,Monastery
968,Rumtek,1,Monastery
986,"Nyangto Sertreng Monastery",1,Monastery
999,"Mokpa Lhatse",1,Monastery
595,Yanggon,1,Monastery
1292,"Chuwar Monastery",1,Monastery
135,"Rinchen Ling",1,Monastery
326,"Drakwar Monastery",1,Monastery
831,"Taklung Ganden Damcho Ling",1,Monastery
485,Tsetang,1,Monastery
1309,Shukchung,1,Monastery
1504,"Ka-Nying Shedrub Ling",1,Monastery
1544,"Pema Choling",1,Monastery
1187,"Ga Benchen Monastery",1,Monastery
1189,"Ladro Monastery",1,Monastery
1205,Lhateng,1,Monastery
1206,"Ganden Mamo",1,Monastery
1341,"Namgyel Ling",1,Monastery
1342,Pangpuk,1,Monastery
1393,"Chamdo Drolma Lhakhang",1,Monastery
1429,"Bo Gangkar Monastery",1,Monastery
1462,Sherabling,1,Monastery
1541,"Pema Khyung Dzong",1,Monastery
1554,"Jangchub Chokhor Ling",1,Monastery
174,"Zurmang Dutsitil",1,Monastery
215,"Karma Gon",1,Monastery
231,"Dechen Teng",1,Monastery
331,Nenang,1,Monastery
419,"Tasho Pomdrak ",1,Monastery
472,Pelpung,1,Monastery
473,"Kaṁpo Nenang",1,Monastery
523,"Monkhar Namseling",1,Monastery
571,"Alo Peljor Gang",1,Monastery
591,"Samling Monastery",1,Monastery
702,"Zurmang Namgyeltse",1,Monastery
807,Trangu,1,Monastery
95,"Tsurpu Monastery",1,Monastery
964,"Lekshe Ling",1,Monastery
977,"Yutok Monastery",1,Monastery
1443,"Gampo Abbey",1,Monastery
1449,"Yak Monastery",1,Monastery
1509,"Karma Triyana Dharmachakra",1,Monastery
1529,Ralong,1,Monastery
1036,"Menkhar Pende Ling",1,Monastery
1242,"Khangmar Monastery",1,Monastery
599,Yangpachen,1,Monastery
806,"Shadzong Ritro",1,Monastery
15,"Sekhar Gutok",1,Monastery
529,"Lhalung Gon",1,Monastery
1415,Bengen,1,Monastery
1216,"Ringu Monastery",1,Monastery
834,"Kharta Tarpa Ling",1,Monastery
