community_id,tbrc_id,community_name,founded_date,founded_date_approximate,founded_date_alternate,founded_century_id,existed_by_century_id,founded_century_id,existed_by_century_id
297,,Sang Ngak Tekchen Choling,,0,,,,,
305,G4607,Rato,1205,0,,,,,
307,G4711,Cheri Monastery,1619,0,,,,,
309,G00JR2680,Bangri Jokpo ,,0,,,,,
310,G2360,Dar Chode,,0,,,,,
311,G2359,Ladring Chode,,0,,,,,
314,G402,Khardo Hermitage,1706,0,,,,,
315,G77,Ganden Jangtse College ,,0,,,,,
316,G236,Gyuto Dratsang,1474,0,1475,,,,
317,G405,Takpu Chode,,0,,,,,
318,G3011,Meldro Chakar Gon,,0,,,,,
319,G304,Ganden Shartse College,,0,,,,,
322,,Sera Utse,1705,0,,,,,
324,G2365,Taktse Rinchen Gang,1119,0,,,,,
327,G74,Reting Monastery,1057,0,,,,,
331,G194,Nenang,1333,0,,,,,
335,G3036,Rinchen Drak,,0,,,,,
338,,Tetung Monastery,1619,0,,,,,
339,G474,Tangring Monastery,1619,0,,,,,
340,G164,Amdo Chubzang Monastery,1649,0,,,,,
343,G2362,Dechen Sangngak Khar,1419,0,,,,,
344,G107,Tashilhunpo Shartse Dratsang,,0,,,,,
347,,Serlung Monastery ,,0,,,,,
349,G237,Sera Me,1419,0,,,,,
350,,Dromda Monastery,,0,,,,,
352,G2194,Toling Monastery,996,0,,,,,
353,G229,To Jayul Monastery,,0,,,,,
354,G435,Chone Ganden Shedrub Ling,1269,0,,,,,
355,G126,Drepung Loseling College,,0,,,,,
358,G161,Jakhyung Monastery,1349,0,,,,,
359,,Rablo,,0,,,,,
360,G1KR1936,Tsador Monastery ,1260,0,,,,,
361,G301,Shitsang Gonsar,1839,0,,,,,
362,G3232,Ngulra Monastery,,0,,,,,
363,G3278,Ganden Shedrub Pekar Drolwai Ling,1748,0,,,,,
364,G293,Tso Gon Ganden Choling ,1650,0,,,,,
365,G1KR2037,Mokru Ganden Jampeling,1720,0,,,,,
367,G4353,Muge Tashikhorlo ,1397,0,,,,,
368,G3090,Ngawa Gomang,1791,0,,,,,
370,G2058,Evaṃ Monastery,1359,0,,,,,
371,G2AG31,Petseling Jangchub Pelri Monastery ,1769,0,,,,,
373,G1963,Drotsang,1392,0,,,,,
374,G163,Rongwo Monastery,1301,0,,,,,
375,G1PD96117,Ditsa Tashi Choding ,1903,0,,,,,
376,G3JT12434,Wangdue Phodrang Dzong ,1638,0,,,,,
377,,Talang ,,0,,,,,
378,G2CN11045,Tubten Jago Pungpo ,1749,0,,,,,
380,G189,Talo Sangngak Choling ,,0,,,,,
