"Place Name","BDRC ID",community_id,person_id
"Drigung Til",G340,82,"12405; 13230; 13232; 13233; 13236; 13237; 13238; 13239; 13240; 13242; 13429; 13430; 13431; 13432; 13433; 13434; 13435; 13436; 13437; 13438; 13439; 13440; 13442; 13443; 13445; 13446; 13447; 13448; 13450; 13613; 13625; 13821; 61; 620; 2561; 2584; 2595; 2606; 2774; 2789; 2899; 3010; 3890; 3902; 3903; 3904; 3906; 3936; 3939; 8181; 8964; 9171; 10093; 10536; 10824; 11299; 5997; 6134; 6138; 6147; 6405; 6578; 6721; 7038; 7040; 7637"
"Drilma Sangngak Choding",NULL,1693,13855
Drinyendong,NULL,1466,"7442; 8181"
"Driru Drubde",G3388,1023,3989
"Driru Gon",G3386,255,6770
"Drokge Monastery",G4335,1282,1869
"Drolma Podrang",G4445,938,13186
"Dromda Monastery",NULL,350,5796
Drongtse,G373,838,"5426; 4265"
Drotsang,G1963,373,"1871; 6161"
Drugu,G1KR983,404,"29; 4285; 9750; 13106; 13107; 13108; 13109; 13110"
"Drugu Gon",G1KR1012,1017,8782
"Druk Jangchub Choling",G45,1236,"11865; 11909"
"Druk Monastery",G1689,145,6671
Drukto,G1KR462,1747,12980
Drula,G3487,323,"13113; 4492; 2819"
"Drumpa Manor House",NULL,1561,"13722; 13725; 9289"
"Drumpa Monastery",NULL,1694,13855
Dubdi,G1PD110073,1526,13687
"Ducho Labrang",G466,936,"13186; 10591"
"Dudjom Gonpa  ",NULL,1718,10019
"Dudjom Namdrol Choling",NULL,1730,13884
"Dundul Rabtenling",NULL,1716,10019
Dungdo,NULL,1564,13707
Dungkar,G2LS540,1089,13540
"Dungsam Riwo Tengyeling",G00AG01619,1256,"13121; 13123; 13124"
"Durpin Monastery",NULL,1714,10019
Dzagyel,G3933,1171,"9579; 4185; 4425; 13819"
Dzaka,G3467,954,"12980; 8538; 8551"
Dzamtang,G529,206,"8752; 11632; 11731; 1869; 4358; 7272"
"Dzamtang Gepel Hermitage",G4935,976,7272
"Dzato Changmai Monastery",G4154,1284,11741
Dzigar,G185,1114,5641
"Dzinda Neseb",G3266,1496,"12741; 13248; 13679"
Dzingchi,G973,829,"5706; 6874; 8354; 4276"
"Dzogchen Monastery",G16,12,"2069; 2992; 3020; 3436; 3485; 4185; 4228; 4272; 4358; 4425; 4622; 4659; 4676; 4691; 4986; 4987; 5024; 5041; 5044; 5048; 5078; 5099; 5115; 5117; 5120; 5121; 5164; 5166; 6470; 6668; 7551; 7559; 7581; 11488; 11489; 11491; 11741; 12553; 12906; 12980; 13148; 13149; 13150; 13151; 13152; 13162; 13163; 13178; 13181; 13204; 13654; 13659; 13679; 13688; 13850; 8181; 8507; 8538; 8574; 8578; 8782; 8825; 9047; 9126; 9203; 9213; 9355; 9383; 9525; 9546; 9579; 9585; 9588; 9589; 9593; 9594; 9601; 9612; 9622; 9646; 9884; 9895; 10068; 10093; 10146; 10169; 10355; 10412; 10413; 10414; 10415; 10617; 10827; 10828; 10832; 11426; 11427; 11432; 11435; 11443; 11444; 11445; 11487"
"Dzogchen Yamāntaka Cave",NULL,1335,"9585; 4425; 11488"
"Dzoge Monastery ",G4698,397,"2788; 7170; 7881"
Dzogon,G1KR347,1255,4358
"Dzong Chode",NULL,1603,"12479; 13790"
Dzonggo,G1KR2784,1499,12741
Dzonggo,G2CN10949,1313,4358
"Dzonggo Ling",NULL,1536,"12839; 13749"
"Dzongkar Monastery",G224,497,"13201; 13202; 13203; 6635; 2469"
Dzongsar,G213,180,"4228; 4291; 11741; 12180; 12500; 13139; 13455; 13533; 13653; 13654; 13677; 13697; 13702; 13747; 13749; 13795; 13811; 8181; 8507; 8536; 8538; 9047; 9594; 9622; 9990; 10355; 10815; 11231; 11385; 4358; 4820"
Dzongsho,G3828,989,"4358; 12180; 4291; 8181"
"Dzonyak Samdrub",G3269,1497,13679
"E Rigo Chode ",NULL,424,9062
"Emei Shan",NULL,1164,"10536; 11488; 6489"
Ensa,NULL,1419,7305
"Erdene Zuu",G2KR46,1204,"7069; 13588"
"Evaṃ Monastery",G2058,370,"6738; 8964"
"Ga Benchen Monastery",G214,1187,"8825; 11385"
"Ga Nyide",NULL,511,1831
Gadong,G1213,823,"5693; 8986"
"Gagu Hermitage",NULL,1464,"10355; 13654; 4820"
