person_id,default_name,historical_period_name,historical_period_id
3064,Ngawang Trinle,18th Century,69
11443,Sonam Jinpa,18th Century,69
6729,Lobzang Tenpa Dargye,18th Century,69
11731,Ngawang Trinle,18th Century,69
13168,Lobzang Jamyang,18th Century,69
7172,Lobzang Tashi Trinle Gyatso,18th Century,69
1903,Gendun Chokyi Wangchuk,18th Century,69
6502,Jigme Lungrik Gyatso,18th Century,69
5328,Yeshe Lobzang Tenpai Gonpo,18th Century,69
9693,Lobzang Pelden Gyeltsen,18th Century,69
6580,Ngawang Konchok Nyima,18th Century,69
4493,Ngawang Namkha Zangpo,18th Century,69
3173,Gendun Puntsok,18th Century,69
6635,Sherab Tashi,18th Century,69
13226,Kunga Tendzin,18th Century,69
5159,Kunzang Pema Wanggyel,18th Century,69
13228,Gyurme Tekchok Tenpa Namgyel,18th Century,69
4224,Pelchok Gyeltsen,18th Century,69
4665,Bipa Mipam Dawa,18th Century,69
6161,Lobzang Nyima,18th Century,69
4730,Konchok Tenpai Dronme,18th Century,69
7895,Kunga Gyatso,18th Century,69
7918,Sherab Sengge,18th Century,69
2926,Lobzang Samten,18th Century,69
5426,Lobzang Tsultrim,18th Century,69
2180,Lobzang Yeshe,18th Century,69
13426,Lobzang Nyendrak,18th Century,69
13428,Sonam Dargye,18th Century,69
13453,Getse Pema,18th Century,69
13069,Drakpa Rinchen Sherab,18th Century,69
5479,Arik Geshe Jampa Gelek Gyeltsen,18th Century,69
9254,Pelden Tashi,18th Century,69
9546,Pema Tekchok Tenpai Gyeltsen,18th Century,69
10753,Sonam Rinchen,18th Century,69
10742,Ngawang Kunga Lodro,18th Century,69
13190,Ngawang Jampel Mingyur Lhundrub Dorje,18th Century,69
13191,Kunzang Gyurme Lhundrub,18th Century,69
13070,Rinchen Lekdrub,18th Century,69
9297,Pema Dechen Lingpa,18th Century,69
13452,Nyida Sanggye,18th Century,69
8549,Namkha Chowang,18th Century,69
5652,Ngawang Tsultrim,18th Century,69
4080,Konchok Chodrak,18th Century,69
9394,Mingyur Peldron,18th Century,69
7681,Lhundrub Gyatso,18th Century,69
13531,Yungdrung Tendzin,18th Century,69
13108,Lobzang Tendzin Trinle,18th Century,69
13109,Kelzang Chodrak Pelden,18th Century,69
8028,Yonten Taye,18th Century,69
13544,Menjangma,18th Century,69
10644,Sanggye Puntsok,18th Century,69
8126,Pema Nyinje Wangpo,18th Century,69
5641,Deumar Geshe Tendzin Puntsok,18th Century,69
13515,Orgyen Tashi,18th Century,69
13514,Lupel,18th Century,69
6499,Tenpa Tsering,18th Century,69
13532,Puntsok Tenpa,18th Century,69
13558,Lhagyari Tsering Pelbar,18th Century,69
12865,Lhagyari Dechen Trinle Rolpa,18th Century,69
3072,Jamyang Norbu,18th Century,69
6350,Jigme Topgye,18th Century,69
6346,Makzor Gonpo,18th Century,69
6348,Tensung Tsering,18th Century,69
3109,Lobzang Chodrak,18th Century,69
9513,Kelzang Pema Wangchuk,18th Century,69
5985,Chakpa Chopel,18th Century,69
10412,Mingyur Pende Gyatso,18th Century,69
13547,Ngawang Trinle Gyatso,18th Century,69
6198,Jamyang Tubten Nyima,18th Century,69
5381,Jamyang Monlam,18th Century,69
5360,Lobzang Gyeltsen Sengge,18th Century,69
7803,Jamgon Ngawang Gyeltsen,18th Century,69
13133,Kunzang Trinle Namgyel,18th Century,69
3758,Ngawang Lobzang Choden,18th Century,69
9525,Gyurme Kunzang Namgyel,18th Century,69
3225,Ngawang Chokyi Gyatso,18th Century,69
11866,Chime Tenpai Nyima,18th Century,69
2755,Ngawang Sonam Gyatso,18th Century,69
9579,Jigme Gyelwai Nyugu,18th Century,69
13574,Yeshe Tendzin,18th Century,69
9523,Lobzang Jigme Namkha,18th Century,69
