community_id,lat,long,icon,map_priority_level_id,map_display_name,map_display_name_script
1475,24.697224,84.990044,,3,Ganden Pelgye Ling,དགའ་ལྡན་འཕེལ་རྒྱས་གླིང།
1476,47.43655,8.802695,,3,Chokhor Ling ,ཆོས་འཁོར་གླིང།
1479,40.761388,-75.037401,,3,Labsum Shedrub Ling,བསླབ་གསུམ་བཤད་སྒྲུབ་གླིང།
1481,28.28333,98.9,,3,Ngopu Yangchen Puntsok Ling,སྔོ་ཕུ་ཡང་ཅན་ཕུན་ཚོགས་གླིང།
1482,28.26667,99.2,,3,Bomrak Ganden Dondrub Ling,སྦོམ་རག་དགའ་ལྡན་དོན་གྲུབ་གླིང།
1487,32.157,102.2032,,3,Datsang,ད་ཚང་དགོན།
1488,32.84673,97.14666,,3,Damtok,འདམ་ཐོག་དགོན།
1491,32.33333,98.36667,,3,Guzi,འགུ་ཟི་དགོན།
1492,29.95,87.61667,,3,Takmo Lingkha,སྟག་མོ་གླིང་ཁ།
1493,29.65,89.06667,,3,Baradrak Dondrubling,འབའ་ར་བྲག་དོན་གྲུབ་གླིང།
1494,27.469397,83.275519,,3,Lumbini,
1498,33.27071,97.04208,,3,Tubten,ཐུབ་བསྟན་དགོན།
1499,33.27071,97.04208,,3,Dzonggo,རྫོང་མགོ་དགོན།
1506,45.1502,5.42,,3,Karma Migyur Ling,ཀརྨ་མི་འགྱུར་གླིང།
1507,44.99923432,1.061962276,,3,Dhagpo Kagyu Ling,དྭགས་པོ་བཀའ་བརྒྱུད་གླིང།
1508,55.72257115,12.57520206,,3,Buddhistisk Center København,
1509,42.07158564,-74.120812,,3,Karma Triyana Dharmachakra,
1510,32.07525167,76.62578133,,3,Khampa Gar (Tashi Jong),ཁམས་པ་སྒར།
1511,32.2324,76.0707,,3,Karma Drubgyu Thargay Ling,ཀརྨ་གྲུབ་བརྒྱུད་དར་རྒྱས་གླིང།
1512,34.09655319,77.60197902,,3,Karma Drupgyud Choeling,ཀརྨ་གྲུབ་བརྒྱུད་ཆོས་གླིང།
1513,27.7151461,85.2907484,,3,Shri Karma Raja Mahavihara,འཕགས་ཞིང་ཞྭ་དམར་དགོན་པ།
1516,32.15487,95.85791,,3,Lhalam,ལྷ་ལམ་དགོན།
1517,32.034287,95.79837,,3,Lachab,བླ་ཁྱབ།
1518,28.53504,92.8856,,3,Sang-ngak Choling,གསང་སྔགས་ཆོས་གླིང།
1522,35.19405,102.50509,,3,Gyuto Dratsang,རྒྱུད་སྟོད་གྲྭ་ཚང་གསང་ཆེན་རྡོ་རྗེ་གླིང།
1523,35.19405,102.50509,,3,Gyume Dratsang,བླ་བྲང་རྒྱུད་སྨད་གྲྭ་ཚང།
1524,27.0074104,88.2464516,,3,Ghum Yiga Choeling,ཡིད་དག་ཆོས་གླིང།
1526,27.3666733,88.2300106,,3,Dubdi,སྒྲུབ་སྡེ་གསང་སྔག་རྡོ་རྗེ་གདན།
1527,27.29705,88.21939,,3,Sangngak Choling,གསང་སྔགས་ཆོས་གླིང།
1528,27.2929894,88.3492435,,3,Doling,རྡོ་གླིང་དགོན།
1529,27.3257701,88.3260082,,3,Raong,ར་ལངས་ཀརྨ་རབ་བརྟན་གླིང།
1530,32.239289,76.3250879,,3,Men-tsee-khang,སྨན་རྩིས་ཁང་། རྡ་རམ་ས་ལ།
1534,32.16336,95.62048,,3,Tsangsar Namgon,གཙང་སར་རྣམ་མགོན།
1535,31.992329,95.954874,,3,Gechak Monastery,གད་ཆགས་དགོན།
1536,32.062839,95.948496,,3,Dzonggo Ling,རྫོང་མགོ་གླིང།
1538,27.718043,85.27668,,3,Tergar Ösel Ling,གཏེར་གར་འོད་གསལ་གླིང།
1539,27.675333,85.324667,,3,Hiranyavarna Mahavihar Gompa,
1541,29.7277353,90.573371,,3,Pema Khyung Dzong,
1542,27.71107005,85.28913201,,3,Benchen,བན་ཆེན་དགོན།
1543,32.22551697,76.3235461,,3,Central Tibetan Administration,བཙན་བྱོལ་བོད་མིའི་སྒྲིག་འཛུགས།
1544,28.5887139,84.639508,,3,Pema Choling,པདམ་ཆོས་གླིང།
1546,28.36652283,85.38243636,,3,Drapu Choling,གྲྭ་ཕུ་ཆོས་གླིང།
1548,32.2354418,76.32685186,,3,Tashi Choling,བཀྲ་ཤིས་ཆོས་གླིང།
1549,27.42853037,88.91743863,,3,Kagyu Gonsar,བཀའ་བརྒྱུད་དགོན་གསར།
1552,27.60592556,88.64577615,,3,Chungtang,
1556,30.31667,101.56667,,3,Drakkar,དྲག་དཀར།
1559,29.24086,91.78281,,3,Ganden Chokhor Ling,དགའ་ལྡན་ཆོས་འཁོར་གླིང།
1560,29.69414,91.05216,,3,Lhalung Ritro,ལྷ་ལུང་རི་ཁྲོད།
1561,29.6505178,91.130693,,3,Dakpo Drumpa,བྷྲུཾ་པ།
1570,33.266298,100.650865,,3,Dogyu Tosam Ling,མདོ་རྒྱུད་ཐོས་བསམ་གླིང།
1572,47.68919,-122.35825,,3,"Sakya Monastery, Seattle",
1573,27.72324,85.36391,,3,Tharlam,ཐར་ལམ།
1575,34.27671,77.11083,,3,Rizong,རི་རྫོང་དགོན་པ།
1576,32.3,79.42,,3,Tashigang,བཀྲ་ཤིས་སྒང།
1578,33.265666,97.138201,,3,Labu,ལ་བུ།
1579,37.03444,98.65384,,3,Terlam,གཏེར་ལམ།
1585,12.4167292,75.9524895,,3,Sera,སེ་ར།
1586,12.426704,75.985666,,3,Tashi Lhunpo,བཀྲ་ཤིས་ལྷུན་པོ།
1587,34.0050394,77.6850079,,3,Stakna,སྟག་སྣ་དགོན།
1588,33.3993843,76.9170509,,3,Bardan,འབར་གདན་དགོན་པ།
1591,27.7214185,85.3616598,,3,Jamchen Lhakhang,བྱམས་ཆེན་ལྷ་ཁང།
1597,31.8067885,98.5787642,,3,Tangtong Gyelpo Lhakhang,ཐང་སྟོང་རྒྱལ་པོ་ལྷ་ཁང།
1598,31.806864,98.579268,,3,Shukden Lhakhang,གཤུགས་ལྡན་ལྷ་ཁང།
1604,32.2613,96.229,,3,Beru Lachen,བེ་རུ་བླ་ཆེན།
1605,33.1518,96.4439,,3,Gar Gon,གར་དགོན།
1608,31.63637,99.98407,,3,Kandze Shedrub Norbu Ling,དཀར་མཛེས་བཤད་སྒྲུབ་ནོར་བུ་གླིང།
1609,30.242778,120.096667,,3,Lingyin Temple,
1610,29.938,91.4626,,3,Yarlung Tashi Chode,ཡར་ཀླུང་བཀྲ་ཤིས་ཆོས་སྡེ།
1611,30.379925,78.087988,,3,Sakya Centre,རྩེ་ཆེན་བསྟན་འཕེལ་དགའ་ཚལ་བཤད་སྒྲུབ་ཆོས་།
1613,43.80213,3.23687,,3,Lerab Ling,ལས་རབ་གླིང།
1615,11.8707,77.23953,,3,Dzogchen,
1617,29.12006,88.826708,,3,Tartse Labrang,ཐར་རྩེ་བླ་བྲང།
1619,29.1186273,88.8256996,,3,Khangsar Labrang,ཁང་གསར་བླ་བྲང།
