biography_id,person_id,initial_approval_date,published_display_date
589,1908,2011-07-29 19:00:44,July 2011
590,13141,2011-07-29 22:48:50,July 2011
599,8986,2011-08-01 0:00:00,August 2011
600,13142,2011-08-01 0:00:00,August 2011
601,13143,2011-08-01 0:00:00,August 2011
603,13145,2011-08-01 0:00:00,August 2011
604,13146,2011-08-01 0:00:00,August 2011
607,3020,2011-08-01 0:00:00,August 2011
608,10832,2011-08-01 0:00:00,August 2011
609,9383,2011-08-01 0:00:00,August 2011
610,10068,2011-08-01 0:00:00,August 2011
611,8578,2011-08-01 0:00:00,August 2011
612,10828,2011-08-01 0:00:00,August 2011
986,6122,2011-08-01 0:00:00,August 2011
591,3200,2011-08-02 17:58:03,August 2011
593,8612,2011-08-03 18:40:56,August 2011
594,3211,2011-08-04 21:51:52,August 2011
597,3153,2011-08-05 16:52:54,August 2011
598,9190,2011-08-25 22:18:39,August 2011
605,4478,2011-09-01 20:42:59,September 2011
606,8538,2011-09-07 20:03:38,September 2011
613,4077,2011-10-19 2:50:16,October 2011
616,4196,2011-10-19 2:50:19,October 2011
617,2409,2011-10-19 2:50:20,October 2011
615,2495,2011-10-19 2:50:22,October 2011
618,7874,2011-10-22 0:11:24,October 2011
619,8397,2011-10-22 3:37:48,October 2011
620,13147,2011-10-25 15:16:18,October 2011
621,4259,2011-11-01 0:00:00,November 2011
622,4141,2011-11-01 0:00:00,November 2011
628,11258,2011-11-01 0:00:00,November 2011
623,4314,2011-11-02 20:12:41,November 2011
624,2661,2011-11-04 15:29:00,November 2011
625,4140,2011-11-10 20:25:17,November 2011
626,2740,2011-11-11 16:44:23,November 2011
627,7130,2011-11-30 23:39:21,November 2011
629,8964,2011-12-13 18:00:05,December 2011
