Person ID,Historical Period ID,Historical Period Name,Person Name
4077,15,20th Century,Lobzang Jangchub Tenpei Dronme
4080,12,17th Century,Konchok Chodrak
4080,13,18th Century,Konchok Chodrak
4085,11,16th Century,Kunga Drolchok
4086,9,14th Century,Jangchub Tsemo
4092,11,16th Century,Damcho Pelwa
4092,12,17th Century,Damcho Pelwa
4113,9,14th Century,Tangpo Chungwa Lodro Pel
4114,9,14th Century,Puntsok Pelzang
4115,9,14th Century,Gharungwa Lhai Gyeltsen
4119,10,15th Century,Orgyen Dzongpa Chokyong Gyeltsen
4119,11,16th Century,Orgyen Dzongpa Chokyong Gyeltsen
4125,14,19th Century,Nyakla Pema Dudul
4140,7,12th Century,Pomdrakpa Sonam Dorje
4140,8,13th Century,Pomdrakpa Sonam Dorje
4141,14,19th Century,Trinle Gyatso
4150,12,17th Century,Kunga Rinchen Gyatso
4163,14,19th Century,Ngawang Pelden Chokyi Gyeltsen
4164,9,14th Century,Nyakpuwa Sonam Zangpo
4164,10,15th Century,Nyakpuwa Sonam Zangpo
4166,9,14th Century,Jampa Khawoche
4167,9,14th Century,Drubchen Kunga Lodro
4167,10,15th Century,Drubchen Kunga Lodro
4168,10,15th Century,Jamyang Konchok Zangpo
4170,10,15th Century,Namkha Chokyong
4175,7,12th Century,Rokam Nyima Sherab
4177,6,11th Century,Konchok Kyab
4185,14,19th Century,Jigme Tenpai Nyima
4185,15,20th Century,Jigme Tenpai Nyima
4206,14,19th Century,Ngawang Norbu
4217,10,15th Century,Lhachok Sengge
4217,11,16th Century,Lhachok Sengge
4219,11,16th Century,Sanggye Sengge
4220,11,16th Century,Kunga Sonam Lhundrub
4220,12,17th Century,Kunga Sonam Lhundrub
4221,11,16th Century,Sherab Jungne
4221,12,17th Century,Sherab Jungne
4222,12,17th Century,Namkha Rinchen
4223,11,16th Century,Ngawang Sonam Gyeltsen
4223,12,17th Century,Ngawang Sonam Gyeltsen
4224,12,17th Century,Pelchok Gyeltsen
4224,13,18th Century,Pelchok Gyeltsen
4225,12,17th Century,Jamyang Namkha Pelzang
4227,12,17th Century,Sanggye Tendzin
4228,14,19th Century,Mipam Gyatso
4228,15,20th Century,Mipam Gyatso
4249,12,17th Century,Kunga Tashi
4249,13,18th Century,Kunga Tashi
4259,14,19th Century,Khedrub Gyatso
4261,6,11th Century,Ngok Lotsāwa Loden Sherab
4265,11,16th Century,Tsultrim Chopel
4265,12,17th Century,Tsultrim Chopel
4267,6,11th Century,Dromton Gyelwa Jungne
4272,14,19th Century,Jigme Puntsok Jungne
4276,11,16th Century,Konchok Chopel
4276,12,17th Century,Konchok Chopel
4277,14,19th Century,Yeshe Chopel
4278,14,19th Century,Jangchub Namkha
4279,14,19th Century,Lobzang Tsultrim
4280,14,19th Century,Lobzang Tsultrim Pelden
4282,14,19th Century,Lobzang Gyeltsen
4282,15,20th Century,Lobzang Gyeltsen
4285,14,19th Century,Jigme Chokyi Wangchuk
4285,15,20th Century,Jigme Chokyi Wangchuk
4291,14,19th Century,Jamyang Khyentse Wangpo
4301,6,11th Century,Yumo Mikyo Dorje
4301,7,12th Century,Yumo Mikyo Dorje
4302,14,19th Century,Ngawang Yeshe Tubten
4309,15,20th Century,Lobzang Yeshe Tenzin Gyatso
4310,14,19th Century,Jampa Kunga Tenzin
4310,15,20th Century,Jampa Kunga Tenzin
4314,14,19th Century,Tsultrim Gyatso
4327,9,14th Century,Lodro Gyeltsen
4327,10,15th Century,Lodro Gyeltsen
4348,10,15th Century,Sherab Zangpo
4349,10,15th Century,Namkha Pelzang
4350,9,14th Century,Jamyang Yeshe Rinchen
4350,10,15th Century,Jamyang Yeshe Rinchen
4352,9,14th Century,Dorje Rinchen
4354,6,11th Century,Marpa Chokyi Lodro
4358,14,19th Century,Jamgon Kongtrul Lodro Taye
4359,7,12th Century,Sanggye Gompa Sengge
4359,8,13th Century,Sanggye Gompa Sengge
4368,7,12th Century,Taklungtangpa Tashi Pel
4372,11,16th Century,Dawa Gyeltsen
4379,11,16th Century,Pema Trinle
4379,12,17th Century,Pema Trinle
4380,14,19th Century,Ngawang Lobzang Tenpai Gyeltsen
4402,14,19th Century,Yangchen Drupai Dorje
4425,14,19th Century,Patrul Orgyen Jigme Chokyi Wangpo
4469,14,19th Century,Lungtok Gyatso
4478,15,20th Century,Orgyen Trinle Dorje
4487,12,17th Century,Lobzang Chopel
4488,12,17th Century,Dondrub Gyatso
4488,13,18th Century,Dondrub Gyatso
4489,12,17th Century,Lobzang Dargye
4489,13,18th Century,Lobzang Dargye
4490,11,16th Century,Pelden Drakpa
4490,12,17th Century,Pelden Drakpa
4492,12,17th Century,Gyeltsen Sengge
4492,13,18th Century,Gyeltsen Sengge
4493,12,17th Century,Ngawang Namkha Zangpo
4493,13,18th Century,Ngawang Namkha Zangpo
4494,12,17th Century,Lobzang Drime
4494,13,18th Century,Lobzang Drime
4495,13,18th Century,Samten Puntsok
4496,13,18th Century,Ngawang Chodrak
4497,13,18th Century,Ngawang Chodrak
4498,13,18th Century,Lobzang Tenpa
4499,13,18th Century,Lobzang Monlam
4500,13,18th Century,Lobzang Khechok
4501,13,18th Century,Lobzang Tashi
4524,14,19th Century,Lobzang Chodrak Gyatso
4535,10,15th Century,Yeshe Zangpo
4607,13,18th Century,Konchok Dechen
4611,13,18th Century,Zhabkar Tsokdruk Rangdrol
4611,14,19th Century,Zhabkar Tsokdruk Rangdrol
4622,13,18th Century,Jigme Ngotsar Gyatso
4622,14,19th Century,Jigme Ngotsar Gyatso
4626,4,9th Century,Nubchen Sanggye Yeshe
4626,5,10th Century,Nubchen Sanggye Yeshe
4630,6,11th Century,Zurchen Shakya Jungne
4631,13,18th Century,Ngulchu Dharmabhadra
4631,14,19th Century,Ngulchu Dharmabhadra
4632,6,11th Century,Zurchung Sherab Drakpa
4642,15,20th Century,Sherab Gyatso
4659,14,19th Century,Sengdruk Pema Tashi
4665,13,18th Century,Bipa Mipam Dawa
4665,14,19th Century,Bipa Mipam Dawa
4669,9,14th Century,Lekpa Gyeltsen
4669,10,15th Century,Lekpa Gyeltsen
4676,13,18th Century,Jigme Trinle Wozer
4676,14,19th Century,Jigme Trinle Wozer
4720,13,18th Century,Drakpa Gyeltsen
4720,14,19th Century,Drakpa Gyeltsen
4727,13,18th Century,Konchok Tenpai Gyeltsen
4727,14,19th Century,Konchok Tenpai Gyeltsen
4730,13,18th Century,Konchok Tenpai Dronme
4730,14,19th Century,Konchok Tenpai Dronme
4820,15,20th Century,Druk Khenpo Ngawang Yonten Gyatso
4903,3,8th Century,Gyelwa Chokyang
4986,14,19th Century,Namkha Chokyi Gyatso
4987,14,19th Century,Jigme Choying Wosel
5024,14,19th Century,Ngawang Norbu
5024,15,20th Century,Ngawang Norbu
5041,14,19th Century,Gelek Namgyel
5044,14,19th Century,Tsering Norbu
5044,15,20th Century,Tsering Norbu
5048,14,19th Century,Konchok Zangpo
5048,15,20th Century,Konchok Zangpo
5078,14,19th Century,Gyurme Wosel
5078,15,20th Century,Gyurme Wosel
5099,15,20th Century,Pema Tsewang Gyatso
5115,15,20th Century,Wozer Taye
5117,15,20th Century,Konchok Yeshe Wozer
5120,15,20th Century,Tenzin Chozang
5121,15,20th Century,Chonam
5122,15,20th Century,Tsering Chojor
5151,12,17th Century,Orgyen Samten
5151,13,18th Century,Orgyen Samten
5159,13,18th Century,Kunzang Pema Wanggyel
5164,13,18th Century,Peljor Gyatso
5164,14,19th Century,Peljor Gyatso
5166,14,19th Century,Garwang Chokyi Gyeltsen
5234,3,8th Century,Ma Rinchen Chok
5234,4,9th Century,Ma Rinchen Chok
5281,3,8th Century,Sokpo Pelgyi Yeshe
5306,13,18th Century,Doring Tenzin Peljor
5306,14,19th Century,Doring Tenzin Peljor
5312,7,12th Century,Yutok Yonten Gonpo
5313,7,12th Century,Sumton Yeshe Zung
5317,13,18th Century,Ngawang Chopel
5317,14,19th Century,Ngawang Chopel
5326,10,15th Century,Dorje Palam
5326,11,16th Century,Dorje Palam
5328,13,18th Century,Yeshe Lobzang Tenpai Gonpo
5328,14,19th Century,Yeshe Lobzang Tenpai Gonpo
5331,11,16th Century,Lobzang Gyatso
5331,12,17th Century,Lobzang Gyatso
5338,13,18th Century,Ngawang Tendar
5338,14,19th Century,Ngawang Tendar
5360,13,18th Century,Lobzang Gyeltsen Sengge
5360,14,19th Century,Lobzang Gyeltsen Sengge
5371,13,18th Century,Jangchub Chopel
5371,14,19th Century,Jangchub Chopel
5381,13,18th Century,Jamyang Monlam
5381,14,19th Century,Jamyang Monlam
5386,6,11th Century,Tsurton Wanggi Dorje
5401,6,11th Century,Mel Lotsāwa Lodro Drakpa
5406,8,13th Century,Naza Drakpukpa Sonam Pel
5406,9,14th Century,Naza Drakpukpa Sonam Pel
5408,9,14th Century,Sharchen Yeshe Gyeltsen
5410,14,19th Century,Lobzang Tsultrim Gyatso
5415,14,19th Century,Ngawang Nyendrak
5426,13,18th Century,Lobzang Tsultrim
5432,11,16th Century,Peljor Gyatso
5436,13,18th Century,Gendun Trinle Rabgye
5437,10,15th Century,Janglingpa Tashi Gyeltsen
5457,13,18th Century,Jigme Lingpa
5461,6,11th Century,Ra Lotsāwa Dorje Drakpa
5479,13,18th Century,Arik Geshe Jampa Gelek Gyeltsen
5480,10,15th Century,Chokyong Gyatso
5480,11,16th Century,Chokyong Gyatso
5485,13,18th Century,Jampel Tsultrim
