tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,chos rgyal lhun po,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,chos kyi seng+ge,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Chokyi Sengge,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Chogyel Lhunpo,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Tsangnyon Heruka Rupai Gyenchen,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Traktung Gyelpo,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Mikyo Dorje,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Tsangnyon Heruka Mikyo Dorje,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Rupai Gyenchen,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,gtsang smyon sangs rgyas rgyal mtshan,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Tsangnyon Heruka Sanggye Gyelchen,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Sanggye Gyelchen,en
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,chos kyi grags pa,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,Chokyi Drakpa,en
6858,P4421,dpal gyi rdo rje,dpal gyi rdo rje,dpal gyi rdo rje,bo-x-ewts
6859,P4422,ye shes rgya mtsho,ye shes rgya mtsho,ye shes rgya mtsho,bo-x-ewts
6866,P4429,bsod nams bzang po,bsod nams bzang po,bsod nams bzang po,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,zhogs pa byams pa rgya mtsho,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,dga' ldan khri pa 24 byams pa rgya mtsho,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,mngon dga' ba byams pa rgya mtsho,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,dga' ldan khri chen 24 byams pa rgya mtsho,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Ganden Tripa 24 Jampa Gyatso,en
