person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
2328,phags pa chos rgyal,bo-x-ewts,1
2328,Pakpa Chogyel,en,2
2328,Pakpa Lha Nampar Gyelwa Gyatso De,en,2
2328,phags pa phyogs thams cad las rnam par rgyal ba rgya mtsho'i sde,bo-x-ewts,1
2328,Pakpa Lha Chog Tamchele Nampar Gyelwa Gyatso De,en,2
2328,rdo rje 'phags mchog,bo-x-ewts,1
2328,Dorje Pagchok,en,2
2328,Chamdo Trirab 16 Pakpa lha 04 Chokyi Gyelpo ,en,2
2328,chab mdo khri rabs 16 'phags pa lha 04 chos kyi rgyal po,bo-x-ewts,1
2329,Purbuchok Ngawang Jampa,en,2
2329,phur bu lcog ngag dbang byams pa,bo-x-ewts,1
2329,bde mchog srung,bo-x-ewts,1
2329,Demchok Sung,en,2
2329,Purchok Ngawang Jampa,en,2
2329,phur lcog ngag dbang byans pa,bo-x-ewts,1
2330,ba so ngag dbang chos kyi dbang phyug,bo-x-ewts,1
2330,rta tshag 05 ngag dbang chos kyi dbang phyug,bo-x-ewts,1
2330,ngag dbang chos kyi dbang   phyug bstan pa'i rgyal mtshan,bo-x-ewts,1
2338,mkhyen brtse'i dbang phyug,bo-x-ewts,1
2338,a zha mkhyen brtse'i dbang phyug,bo-x-ewts,1
2338,jam dbyangs mkhyen brtse'i dbang phyug,bo-x-ewts,1
2338,zhwa lu mkhan chen 14 'jam dbyangs mkhyen brtse'i dbang phyug,bo-x-ewts,1
2338,Jamyang Khyentse Wangchuk,en,2
2338,gnas gsar mkhyen brtse'i dbang phyug,bo-x-ewts,1
2338,Azha Mkhyentse Wangchuk,en,2
2338,Nesar Khyentse Wangchuk,en,2
2338,Khyentse Wangchuk,en,2
2338,Zhalu Khenchen 14 Jamyang Khyentse Wangchuk,en,2
2339,blo bzang 'jam dpal rgya mtsho,bo-x-ewts,1
2339,Lobzang Jampel Gyatso,en,2
2340,sding ma ba bslab gsum rgyal mtshan,bo-x-ewts,1
2340,lding ma ba bslab gsum rgyal mtshan,bo-x-ewts,1
2340,Dingma Labsum Gyeltsen,en,2
2340,Tsogyel,en,2
2340,mtsho rgyal,bo-x-ewts,1
2387,kun dga' bzang po,bo-x-ewts,1
2387,Kunga Zangpo,en,2
2387,ngor mkhan chen 01 kun dga' bzang po,bo-x-ewts,1
2387,ngor chen rin chen mchog,bo-x-ewts,1
2387,rdo rje 'chang kun dga' bzang po,bo-x-ewts,1
2387,Ngorchen 01 Kunga Zangpo,en,2
2387,Dorje Chang Kunga Zangpo,en,2
2387,Ngorchen Rinchen Chok,en,2
2392,Seventeenth Kumbum Tripa Lobzang Dorje,en,2
2392,stag mtsher khri chen blo bzang rdo rje,bo-x-ewts,1
2392,sku 'bum khri 17 blo bzang rdo rje,bo-x-ewts,1
2392,Taktser Trichen Lobzang Dorje,en,2
2393,Taktser Trichen Tulku Lobzang Tsultrim Jigme Gyatso,en,2
2393,stag mtsher khri chen,bo-x-ewts,1
2393,stag mtsher khri chen sprul sku blo bzang tshul khrims 'jigs med rgya mtsho,bo-x-ewts,1
2399,stag mtsher khri chen ye shes skal bzang,bo-x-ewts,1
2399,sku 'bum rgyud pa khri 22 ye shes skal bzang,bo-x-ewts,1
2399,sku 'bum khri 29 ye shes skal bzang,bo-x-ewts,1
2399,Twenty Ninth Kumbum Tripa Yeshe Kelzang,en,2
2399,Kumbum Gyudpa Tripa 22 Yeshe Kelzang,en,2
2399,Taktser Trichen Yeshe Kelzang,en,2
2409,Ngago Lama 02 Namkha Sengge ,en,2
2409,ngar rgod sku skye 02 nam mkha' seng+ge,bo-x-ewts,1
2409,tshang sras dga' ba'i lang tsho,bo-x-ewts,1
2409,rnga rgod 02 nam mkha' seng+ge,bo-x-ewts,1
2409,Tsangre Gawai Langtso,en,2
2418,tsha sprul ngag dbang blo bzang,bo-x-ewts,1
2418,tsha ba khri sprul ngag dbang blo bzang,bo-x-ewts,1
2419,blo bzang 'phrin las,bo-x-ewts,1
2419,Lobzang Trinle,en,2
2423,dbang chen dge legs,bo-x-ewts,1
2423,Surkhang Shape,en,2
2423,Surkhang Dzasa,en,2
2423,zur khang zhaps pad,bo-x-ewts,1
2423,zur khang rdza sa,bo-x-ewts,1
2424,hor khang sras,bo-x-ewts,1
2424,霍康索朗邊巴,zh-Hani,9
2424,Hor Khangsar Sonam Pelbar ,en,2
2424,hor khang gsar bsod nams dpal 'bar,bo-x-ewts,1
2424,Horkhang Sopel ,en,2
2424,hor khang bsod dpal,bo-x-ewts,1
2424,Huokang Suolang Bianba,bo-x-ewtsbo-x-ewts,11
2424,Horkhang Se ,en,2
2427,Pelden Gyeltso,en,2
2427,tsha rong dpal ldan rgyal mtshan,bo-x-ewts,1
2427,dpal ldan rgyal mtsho,bo-x-ewts,1
2427,mdo spe chos mdzad dpal ldan rgyal mtshan,bo-x-ewts,1
2427,Tsarong Pelden Gyeltsen,en,2
2427,Dopel Chodze Pelden Gyeltsen,en,2
2434,sbur tsho slob dpon yon tan rgya mtsho,bo-x-ewts,1
2434,Burtso Yonten Gyatso,en,2
2436,Detri 01 Lobzang Dondrub,en,2
2436,sde khri 01 blo bzang don grub,bo-x-ewts,1
2436,bla brang khri 03 blo bzang don grub,bo-x-ewts,1
2436,sde rgan blo bzang don grub,bo-x-ewts,1
2436,bla brang rgyud pa mkhan po blo bzang don grub,bo-x-ewts,1
2436,Labrang Tri 03 Lobzang Dondrub,en,2
2436,Labrang Gyupa Khenpo Lobzang Dondrub,en,2
2436,Degen Lobzang Dondrub,en,2
2441,lcang skya 01 grags pa 'od zer,bo-x-ewts,1
2442,Gonlung Tri 01 Damcho Gyatso,en,2
2442,sum pa dpon slob dam chos rgya mtsho,bo-x-ewts,1
2442,dgon lung khri 01 dam chos rgya mtsho,bo-x-ewts,1
2442,dgon lung khri 04 dam chos rgya mtsho,bo-x-ewts,1
2442,Gonlung Tri 04 Damcho Gyatso,en,2
2442,Sumpa Ponlob Damcho Gyatso,en,2
2456,dga' ldan khri pa 88 mkhyen rab yon tan rgya mtsho,bo-x-ewts,1
2456,lcang rgyab khri chen mkhyen rab yon tan rgya mtsho,bo-x-ewts,1
2456,bri gung pa mkhyen rab yon tan rgya mtsho,bo-x-ewts,1
2456,Drigungpa Khyenrab Yonten Gyatso ,en,2
2456,dga' ldan khri chen 88 mkhyen rab yon tan rgya mtsho,bo-x-ewts,1
2456,Chang-gyabpa Trichen Khyenrab Yonten Gyatso ,en,2
2456,Ganden Trichen 88 Khyenrab Yonten Gyatso,en,2
2456,Ganden Tripa 88 Khyenrab Yonten Gyatso,en,2
2462,Gyelwa Gyamtso,en,2
2462,chab mdo khri rabs 19 phags pa lha 05 rgyal ba rgya mtsho,bo-x-ewts,1
2462,Chamdo Trirab 19 Pakpa Lha 05 Gyelwa Gyatso,en,2
2462,blo bzang 'phags pa bsod nams lhun grub dge legs dpel bzang po,bo-x-ewts,1
2462,Lobzang Pakpa Sonam Lhundrub Gelel Pelzang,en,2
2469,blo bzang bkra shis chos 'phel rgya mtsho,bo-x-ewts,1
2469,rdzong dkar 05,bo-x-ewts,1
2469,rdzong dkar ma ni ba blo bzang bkra shis chos 'phel rgya mtsho,bo-x-ewts,1
2469,Pelchen Nyima,en,2
2469,dpal chen nyi ma,bo-x-ewts,1
2469,Lobzang Tashi Chopel Gyatso,en,2
2469,Fifth Dzongkar,en,2
2469,Dzongkar Maniwa Lobzang Tashi Chopel Gyatso,en,2
2483,smon lam tshul khrims,bo-x-ewts,1
2483,Monlam Tsultrim,en,2
2491,bsod nams rgyal mtshan,bo-x-ewts,1
2491,sa skya pa bla ma dam pa bsod nams rgyal mtshan,bo-x-ewts,1
2491,nyi ma bde ba'i blo gros,bo-x-ewts,1
2491,Sonam Gyeltsen,en,2
2491,Nyima Dewai Lodro,en,2
2491,Sakyapa Lama Dampa Sonam Gyeltsen,en,2
2495,a khu ching shes rab rgya mtsho,bo-x-ewts,1
2495,drung pa shes rab rgya mtsho,bo-x-ewts,1
2495,Akhuching Sherab Gyatso,en,2
