"TOL ID","TBRC RID","Primary title","Primary name","Wylie title","Wylie name","Birth year","Birth year approximate","Birth year alternate","Death year","Death year approximate","Death year alternate",Gender,"HAR URL","Death century","Historical period","Name displayed as","Name Variants","Birth century",Ordinal,"Wikidata ID"
2118,P5987,"Chaktsa Tulku","Kunzang Ngedon Wangpo","phyag tsha sprul sku","kun bzang nges don dbang po",,0,,1816,0,,M,,,,"Phonetic: The First Chaktsa Tulku, Kunzang Ngedon Wangpo Wylie: phyag tsha sprul sku 01 kun bzang nges don dbang po","Chaktsa 01 Kunzang Ngedon Wangpo,en;kaH thog pa kun bzang nges don dbang po,bo-x-ewts;Katokpa Kunzang Ngedon Wangpo,en;phyag tsha 01 kun bzang nges don dbang po,bo-x-ewts","18th century (mid)",01,
2137,P1056,,"Sakya Paṇḍita Kunga Gyeltsen",,"sa skya paN+Dita kun dga' rgyal mtshan",1182,0,,1251,0,,M,http://www.himalayanart.org/search/set.cfm?setID=325,,,"Phonetic: Sakya Paṇḍita Kunga Gyeltsen Wylie: sa skya paN+Dita kun dga' rgyal mtshan","kun dga' rgyal mtshan,bo-x-ewts;Kunga Gyeltsen,en;sa skya paN+Di ta,bo-x-ewts;Sakya Pandita,en;Sakya Paṇḍita,en",,,
2162,P10582,"Tsurpu Gyeltsab","Tashi Namgyel","mtshur phu rgyal tshab","bkra shis rnam rgyal",1490,0,,1518,0,,M,,,,"Phonetic: The Second Tsurpu Gyeltsab, Tashi Namgyel Wylie: mtshur phu rgyal tshab 02 bkra shis rnam rgyal","mtshur phu rgyal tshab 02 bkra shis rnam rgyal,bo-x-ewts",,02,
2180,P106,"Paṇchen Lama","Lobzang Yeshe","paN chen bla ma","blo bzang ye shes",1663,0,,1737,0,,M,,,,"Phonetic: The Fifth Paṇchen Lama, Lobzang Yeshe Wylie: paN chen bla ma 05 blo bzang ye shes","blo bzang ye shes dpal bzang po,bo-x-ewts;Lobzang Yeshe Pelzangpo ,en;paN chen 05 blo bzang ye shes,bo-x-ewts;Paṇchen 05 Lobzang Yeshe,en",,05,
2181,P1060,,"Chim Namkha Drak",,"mchims nam mkha' grags pa",1210,0,,1289,0,,M,,,,"Phonetic: Chim Namkha Drak Wylie: mchims nam mkha' grags pa","nam mkha' grags pa,bo-x-ewts;Namkha Drakpa,en;snar thang mkhan chen 07 nam mkha' grags pa,bo-x-ewts",,,
2203,P1062,,"Zhangton Konchok Pel",,"zhang ston dkon mchog dpal",,0,,1317,0,,M,,,,"Phonetic: Zhangton Konchok Pel Wylie: zhang ston dkon mchog dpal","dkon mchog dpal,bo-x-ewts;gung thang gi btsun pa zhang rgyal ba dpal,bo-x-ewts;Gungtang Tsunpa Zhangton Gyelwa Pel,en;Konchok Pel,en;sa skya'i bstan 'dzin zhang ston dkon mchog dpal  ,bo-x-ewts;Sakya Tendzin Zhangton Konchok Pel,en;Zhang Gyelwa Pel,en;zhang rgyal ba dpal,bo-x-ewts","13th century (mid)",,
2232,P10646,,"Kunkyong Lingpa",,"kun skyong gling pa",1396,0,1408,1477,0,1489,M,,,,"Phonetic: Kunkyong Lingpa Wylie: kun skyong gling pa","dpa' bo gter ston,bo-x-ewts;gter chen kun skyong gling pa,bo-x-ewts;gter ston o rgyan kun skyong gling pa,bo-x-ewts;Pawo Terton ,en;Terchen Kunkyong Lingpa ,en;Terchen Orgyen Kunkyong Lingpa ,en",,,
2235,P10649,"Zamtsa Sertri","Kelzang Lungrik Gyatso","zam tsha gser khri","skal bzang lung rigs rgya mtsho",1901,0,,1954,0,,M,,,,"Phonetic: The Sixth Zamtsa Sertri, Kelzang Lungrik Gyatso Wylie: zam tsha gser khri 06 skal bzang lung rigs rgya mtsho","zam tsha 06 skal bzang lung rigs rgya mtsho,bo-x-ewts;Zamtsa 06 Kelzang Lungrik Gyatso,en",,06,
2237,P10650,"Zamtsa Sertri","Kelzang Jigme Namkha","zam tsha gser khri","skal bzang 'jigs med nam mkha'",1875,0,,1899,0,,M,,,,"Phonetic: The Fifth Zamtsa Sertri, Kelzang Jigme Namkha Wylie: zam tsha gser khri 05 skal bzang 'jigs med nam mkha'","zam tsha 05 skal bzang 'jigs med nam mkha',bo-x-ewts;Zamtsa 05 Kelzang Jigme Namkha,en",,05,
2238,P10651,"Zamtsa Sertri","Lobzang Trinle Gyatso","zam tsha gser khri","blo bzang 'jigs med rgya mtsho",1822,0,,1832,0,,M,,,,"Phonetic: The Third Zamtsa Sertri, Lobzang Trinle Gyatso Wylie: zam tsha gser khri 03 blo bzang 'jigs med rgya mtsho","blo bzang 'phrin las rgya mtsho,bo-x-ewts;Lobzang Jigme Gyatso,en;zam tsha 03 blo bzang 'jigs med rgya mtsho,bo-x-ewts;Zamtsa Sertri 03 Lobzang Jigme Gyatso,en",,03,
2280,P1069,,"Yeshe Rinchen",,"ye shes rin chen",1248,0,,1294,0,,M,,,,"Phonetic: Yeshe Rinchen Wylie: ye shes rin chen","Dukorwa Yeshe Rinchen,en;dus 'khor ba ye shes rin chen,bo-x-ewts;shar pa ye shes rin chen,bo-x-ewts;Sharpa Yeshe Rinchen,en;ti shrI 04 ye shes rin chen,bo-x-ewts;Tishri 04 Yeshe Rinchen,en",,,
2314,P1072,,"Rinchen Gyeltsen",,"rin chen rgyal mtshan",1238,0,,1279,0,,M,,,,"Phonetic: Rinchen Gyeltsen Wylie: rin chen rgyal mtshan","Lobpon Rinchen Gyeltsen,en;sa skya khri 'dzin 07 rin chen rgyal mtshan,bo-x-ewts;Sakya Trizin 07 Rinchen Gyeltsen,en;slob dpon rin chen rgyal mtshan,bo-x-ewts",,,
