person_id,tbrc_rid,default_name,tradition_id,tradition_name
10068,P7404,Ngedon Tendzin Zangpo,1,Nyingma
10083,P742,Sera Khandro Kunzang Dekyong Wangmo,1,Nyingma
10093,P743,Botrul Dongak Tenpai Nyima,1,Nyingma
10146,P748,Tubten Tsondru,1,Nyingma
10169,P750,Jikdrel Jangchub Dorje,1,Nyingma
10171,P7502,Ngawang Drakpa,1,Nyingma
10258,P7589,Layakpa Jangchub Ngodrub,1,Nyingma
10301,P7628,Pema Ledrel Tsel,1,Nyingma
10311,P7637,Katokpa Tulku Sonam Gyeltsen,1,Nyingma
10315,P7640,Jampa Jungne,1,Nyingma
10320,P7645,Karma Wangdzin,1,Nyingma
10372,P7694,Lama Monlam Rabzang,1,Nyingma
10373,P7695,Yeshe Tsogyel,1,Nyingma
10412,P7732,Mingyur Pende Gyatso,1,Nyingma
10413,P7733,Jigme Choying Dorje,1,Nyingma
10414,P7734,Tubten Wosel Tenpai Nyima,1,Nyingma
10415,P7735,Tenzin Trinle Wangchuk,1,Nyingma
10422,P7742,Khyungdrak Dorje,1,Nyingma
10442,P7760,Humrel Dung Dung Gyelchok,1,Nyingma
10457,P7774,Khenpo Jigme Puntsok,1,Nyingma
10497,P782,Lowo Khenchen Sonam Lhundrub,1,Nyingma
10531,P7852,Pajo Drukgom Zhikpo,1,Nyingma
10536,P7857,Taktsang Repa Ngawang Gyatso,1,Nyingma
10546,P7868,Buddhaguhya,1,Nyingma
10571,P7892,Jangchub Sengge,1,Nyingma
10572,P7893,Lodro Sengge,1,Nyingma
10573,P7894,Tsangton Dorje Gyeltsen,1,Nyingma
10617,P7933,Rigpai Reltri,1,Nyingma
10647,P7962,Tsade Zhanakpa Namkha Dorje,1,Nyingma
10649,P7964,Kunga Bum,1,Nyingma
10654,P7969,Jangchub Bumpa,1,Nyingma
10656,P7970,Sonam Zangpo,1,Nyingma
10658,P7972,Lodro Bum,1,Nyingma
10659,P7973,Wangchuk Pel,1,Nyingma
10673,P7986,Kunzang Tenpai Nyinje,1,Nyingma
10676,P7989,Tubten Lodro Chokyi Gyeltsen,1,Nyingma
10678,P7990,Kunzang Jampa Sengge,1,Nyingma
10811,P8116,Wencheng Kongjo,1,Nyingma
10827,P8132,Pema Sangngak Tendzin,1,Nyingma
10828,P8133,Namkha Tsewang Chokdrub,1,Nyingma
10832,P8137,Namkha Wosel,1,Nyingma
10881,P8182,Kawa Peltsek,1,Nyingma
10904,P8205,Nanam Yeshe De,1,Nyingma
11003,P8297,Jampel Gyepai Dorje,1,Nyingma
11117,P8402,Drokmi Pelgyi Yeshe,1,Nyingma
11231,P851,Chogyam Trungpa,1,Nyingma
11245,P8522,Karma Lhawang,1,Nyingma
11246,P8523,Karma Tashi,1,Nyingma
11258,P8535,Jampel Dorje,1,Nyingma
11277,P8552,Tashi Puntsok,1,Nyingma
11278,P8553,Shedrub Gyatso,1,Nyingma
11279,P8554,Kunzang Gyurme,1,Nyingma
11290,P8564,Jigme Tsewang Dudul,1,Nyingma
11352,P862,Jangchub Tsondru,1,Nyingma
11417,P8679,Sanggye Tsepel,1,Nyingma
11426,P8687,Tubten Nyinje Gyeltsen,1,Nyingma
11427,P8688,Sonam Chopel,1,Nyingma
11428,P8689,Yilhung Sonam Namgyel,1,Nyingma
11432,P8692,Guru Tsewang,1,Nyingma
11435,P8695,Jigme Lodro,1,Nyingma
11443,P8701,Sonam Jinpa,1,Nyingma
11444,P8702,Purtsa Khenpo Akon,1,Nyingma
11445,P8704,Konchok Drakpa,1,Nyingma
11487,P8743,Rigdzin Zangpo,1,Nyingma
11488,P8744,Pema Sheja,1,Nyingma
11489,P8745,Kelden Gyatso,1,Nyingma
11490,P8746,Dorje Rabten,1,Nyingma
11491,P8747,Sonam Gelek,1,Nyingma
11572,P882,Jatson Nyingpo,1,Nyingma
11603,P8850,Jazi Amnye Drodul Pema Garwang Lingpa,1,Nyingma
11741,P8977,Khenchen Dazer,1,Nyingma
11972,P9187,Lodro Gyatso,1,Nyingma
12171,P9371,Lobzang Dorje,1,Nyingma
12180,P938,Karma Rangjung Kunkhyab,1,Nyingma
12785,P3JM9,Japa Dongak Gyatso,1,Nyingma
12839,P9901,Tulku Urgyen,1,Nyingma
12865,P1KG1960,Lhagyari Dechen Trinle Rolpa,1,Nyingma
